"Date","Android","iOS","Samsung","KaiOS","Unknown","Nokia Unknown","Windows","Series 40","Other"
2022-01,69.74,29.49,0.45,0.14,0.11,0.02,0.01,0.01,0.03
2022-02,70.94,28.29,0.43,0.17,0.1,0.01,0.01,0.01,0.02
2022-03,71.7,27.57,0.42,0.14,0.1,0.01,0.01,0.01,0.02
2022-04,71.59,27.68,0.39,0.12,0.15,0.02,0.01,0.01,0.02
2022-05,71.45,27.83,0.41,0.12,0.12,0.01,0.01,0.01,0.02
2022-06,72.12,27.22,0.42,0.08,0.11,0.01,0.01,0.01,0.02
2022-07,71.85,27.5,0.42,0.05,0.12,0.01,0.02,0.01,0.02
2022-08,71.52,27.83,0.42,0.04,0.13,0.01,0.01,0.01,0.03
